addr=0000  hex=56  (oc=0, ky=0, kx=0, ic=0)
addr=0001  hex=8C  (oc=0, ky=0, kx=1, ic=0)
addr=0002  hex=67  (oc=0, ky=0, kx=2, ic=0)
addr=0003  hex=E8  (oc=0, ky=1, kx=0, ic=0)
addr=0004  hex=7F  (oc=0, ky=1, kx=1, ic=0)
addr=0005  hex=36  (oc=0, ky=1, kx=2, ic=0)
addr=0006  hex=1C  (oc=0, ky=2, kx=0, ic=0)
addr=0007  hex=A2  (oc=0, ky=2, kx=1, ic=0)
addr=0008  hex=A0  (oc=0, ky=2, kx=2, ic=0)
addr=0009  hex=62  (oc=1, ky=0, kx=0, ic=0)
addr=0010  hex=7F  (oc=1, ky=0, kx=1, ic=0)
addr=0011  hex=7B  (oc=1, ky=0, kx=2, ic=0)
addr=0012  hex=DF  (oc=1, ky=1, kx=0, ic=0)
addr=0013  hex=CB  (oc=1, ky=1, kx=1, ic=0)
addr=0014  hex=08  (oc=1, ky=1, kx=2, ic=0)
addr=0015  hex=D2  (oc=1, ky=2, kx=0, ic=0)
addr=0016  hex=55  (oc=1, ky=2, kx=1, ic=0)
addr=0017  hex=94  (oc=1, ky=2, kx=2, ic=0)
addr=0018  hex=4A  (oc=2, ky=0, kx=0, ic=0)
addr=0019  hex=2A  (oc=2, ky=0, kx=1, ic=0)
addr=0020  hex=7F  (oc=2, ky=0, kx=2, ic=0)
addr=0021  hex=A0  (oc=2, ky=1, kx=0, ic=0)
addr=0022  hex=8B  (oc=2, ky=1, kx=1, ic=0)
addr=0023  hex=4B  (oc=2, ky=1, kx=2, ic=0)
addr=0024  hex=6E  (oc=2, ky=2, kx=0, ic=0)
addr=0025  hex=32  (oc=2, ky=2, kx=1, ic=0)
addr=0026  hex=9E  (oc=2, ky=2, kx=2, ic=0)
addr=0027  hex=FB  (oc=3, ky=0, kx=0, ic=0)
addr=0028  hex=01  (oc=3, ky=0, kx=1, ic=0)
addr=0029  hex=5A  (oc=3, ky=0, kx=2, ic=0)
addr=0030  hex=1B  (oc=3, ky=1, kx=0, ic=0)
addr=0031  hex=24  (oc=3, ky=1, kx=1, ic=0)
addr=0032  hex=7F  (oc=3, ky=1, kx=2, ic=0)
addr=0033  hex=F7  (oc=3, ky=2, kx=0, ic=0)
addr=0034  hex=CF  (oc=3, ky=2, kx=1, ic=0)
addr=0035  hex=2E  (oc=3, ky=2, kx=2, ic=0)
addr=0036  hex=C0  (oc=4, ky=0, kx=0, ic=0)
addr=0037  hex=E6  (oc=4, ky=0, kx=1, ic=0)
addr=0038  hex=CF  (oc=4, ky=0, kx=2, ic=0)
addr=0039  hex=30  (oc=4, ky=1, kx=0, ic=0)
addr=0040  hex=7F  (oc=4, ky=1, kx=1, ic=0)
addr=0041  hex=5F  (oc=4, ky=1, kx=2, ic=0)
addr=0042  hex=D2  (oc=4, ky=2, kx=0, ic=0)
addr=0043  hex=3B  (oc=4, ky=2, kx=1, ic=0)
addr=0044  hex=2C  (oc=4, ky=2, kx=2, ic=0)
addr=0045  hex=E9  (oc=5, ky=0, kx=0, ic=0)
